ID,Title,Authors,Date
http://arxiv.org/abs/2203.09361v1,Expressivity of Planning with Horn Description Logic Ontologies (Technical Report),"[arxiv.Result.Author('Stefan Borgwardt'), arxiv.Result.Author('Jörg Hoffmann'), arxiv.Result.Author('Alisa Kovtunova'), arxiv.Result.Author('Markus Krötzsch'), arxiv.Result.Author('Bernhard Nebel'), arxiv.Result.Author('Marcel Steinmetz')]",2022-03-17 14:50:06+00:00
http://arxiv.org/abs/2203.09354v1,Context-Dependent Anomaly Detection with Knowledge Graph Embedding Models,"[arxiv.Result.Author('Nathan Vaska'), arxiv.Result.Author('Victoria Helus')]",2022-03-17 14:36:12+00:00
http://arxiv.org/abs/2203.09343v1,CYBORGS: Contrastively Bootstrapping Object Representations by Grounding in Segmentation,"[arxiv.Result.Author('Renhao Wang'), arxiv.Result.Author('Hang Zhao'), arxiv.Result.Author('Yang Gao')]",2022-03-17 14:20:05+00:00
http://arxiv.org/abs/2203.09313v1,EVA2.0: Investigating Open-Domain Chinese Dialogue Systems with Large-Scale Pre-Training,"[arxiv.Result.Author('Yuxian Gu'), arxiv.Result.Author('Jiaxin Wen'), arxiv.Result.Author('Hao Sun'), arxiv.Result.Author('Yi Song'), arxiv.Result.Author('Pei Ke'), arxiv.Result.Author('Chujie Zheng'), arxiv.Result.Author('Zheng Zhang'), arxiv.Result.Author('Jianzhu Yao'), arxiv.Result.Author('Xiaoyan Zhu'), arxiv.Result.Author('Jie Tang'), arxiv.Result.Author('Minlie Huang')]",2022-03-17 13:33:17+00:00
http://arxiv.org/abs/2203.09301v1,One-Shot Adaptation of GAN in Just One CLIP,"[arxiv.Result.Author('Gihyun Kwon'), arxiv.Result.Author('Jong Chul Ye')]",2022-03-17 13:03:06+00:00
http://arxiv.org/abs/2203.09280v1,Knowledge Graph Embedding Methods for Entity Alignment: An Experimental Review,"[arxiv.Result.Author('Nikolaos Fanourakis'), arxiv.Result.Author('Vasilis Efthymiou'), arxiv.Result.Author('Dimitris Kotzinos'), arxiv.Result.Author('Vassilis Christophides')]",2022-03-17 12:11:58+00:00
http://arxiv.org/abs/2203.09270v1,Mixing Up Contrastive Learning: Self-Supervised Representation Learning for Time Series,"[arxiv.Result.Author('Kristoffer Wickstrøm'), arxiv.Result.Author('Michael Kampffmeyer'), arxiv.Result.Author('Karl Øyvind Mikalsen'), arxiv.Result.Author('Robert Jenssen')]",2022-03-17 11:49:21+00:00
http://arxiv.org/abs/2203.09258v1,Explainability in Graph Neural Networks: An Experimental Survey,"[arxiv.Result.Author('Peibo Li'), arxiv.Result.Author('Yixing Yang'), arxiv.Result.Author('Maurice Pagnucco'), arxiv.Result.Author('Yang Song')]",2022-03-17 11:25:41+00:00
http://arxiv.org/abs/2203.09255v1,On the Spectral Bias of Convolutional Neural Tangent and Gaussian Process Kernels,"[arxiv.Result.Author('Amnon Geifman'), arxiv.Result.Author('Meirav Galun'), arxiv.Result.Author('David Jacobs'), arxiv.Result.Author('Ronen Basri')]",2022-03-17 11:23:18+00:00
http://arxiv.org/abs/2203.09250v1,Symmetry-Based Representations for Artificial and Biological General Intelligence,"[arxiv.Result.Author('Irina Higgins'), arxiv.Result.Author('Sébastien Racanière'), arxiv.Result.Author('Danilo Rezende')]",2022-03-17 11:18:34+00:00
http://arxiv.org/abs/2203.09205v1,SoK: Differential Privacy on Graph-Structured Data,"[arxiv.Result.Author('Tamara T. Mueller'), arxiv.Result.Author('Dmitrii Usynin'), arxiv.Result.Author('Johannes C. Paetzold'), arxiv.Result.Author('Daniel Rueckert'), arxiv.Result.Author('Georgios Kaissis')]",2022-03-17 09:56:32+00:00
http://arxiv.org/abs/2203.09183v1,RoMe: A Robust Metric for Evaluating Natural Language Generation,"[arxiv.Result.Author('Md Rashad Al Hasan Rony'), arxiv.Result.Author('Liubov Kovriguina'), arxiv.Result.Author('Debanjan Chaudhuri'), arxiv.Result.Author('Ricardo Usbeck'), arxiv.Result.Author('Jens Lehmann')]",2022-03-17 09:07:39+00:00
http://arxiv.org/abs/2203.09180v1,A Novel End-To-End Network for Reconstruction of Non-Regularly Sampled Image Data Using Locally Fully Connected Layers,"[arxiv.Result.Author('Simon Grosche'), arxiv.Result.Author('Fabian Brand'), arxiv.Result.Author('André Kaup')]",2022-03-17 09:02:52+00:00
http://arxiv.org/abs/2203.09163v1,Modeling Dual Read/Write Paths for Simultaneous Machine Translation,"[arxiv.Result.Author('Shaolei Zhang'), arxiv.Result.Author('Yang Feng')]",2022-03-17 08:35:36+00:00
http://arxiv.org/abs/2203.09161v2,How Many Data Samples is an Additional Instruction Worth?,"[arxiv.Result.Author('Ravsehaj Singh Puri'), arxiv.Result.Author('Swaroop Mishra'), arxiv.Result.Author('Mihir Parmar'), arxiv.Result.Author('Chitta Baral')]",2022-03-17 08:30:30+00:00
http://arxiv.org/abs/2203.09148v1,Prediction of speech intelligibility with DNN-based performance measures,"[arxiv.Result.Author('Angel Mario Castro Martinez'), arxiv.Result.Author('Constantin Spille'), arxiv.Result.Author('Jana Roßbach'), arxiv.Result.Author('Birger Kollmeier'), arxiv.Result.Author('Bernd T. Meyer')]",2022-03-17 08:05:38+00:00
http://arxiv.org/abs/2203.09127v1,POLARIS: A Geographic Pre-trained Model and its Applications in Baidu Maps,"[arxiv.Result.Author('Huang Jizhou'), arxiv.Result.Author('Wang Haifeng'), arxiv.Result.Author('Sun Yibo'), arxiv.Result.Author('Shi Yunsheng'), arxiv.Result.Author('Huang Zhengjie'), arxiv.Result.Author('Zhuo An'), arxiv.Result.Author('Feng Shikun')]",2022-03-17 07:07:33+00:00
http://arxiv.org/abs/2203.09126v1,Conversational Recommendation: A Grand AI Challenge,"[arxiv.Result.Author('Dietmar Jannach'), arxiv.Result.Author('Li Chen')]",2022-03-17 07:06:00+00:00
